,Date,Close,name
130,2015-07-10,15.468,stribro
131,2015-07-13,15.436,stribro
132,2015-07-14,15.295,stribro
133,2015-07-15,15.028,stribro
134,2015-07-16,14.964,stribro
135,2015-07-17,14.82,stribro
136,2015-07-20,14.745,stribro
137,2015-07-21,14.769,stribro
138,2015-07-22,14.714,stribro
139,2015-07-23,14.683,stribro
140,2015-07-24,14.477,stribro
141,2015-07-27,14.594,stribro
142,2015-07-28,14.631,stribro
143,2015-07-29,14.734,stribro
144,2015-07-30,14.691,stribro
145,2015-07-31,14.746,stribro
146,2015-08-03,14.516,stribro
147,2015-08-04,14.55,stribro
148,2015-08-05,14.546,stribro
149,2015-08-06,14.67,stribro
150,2015-08-07,14.816,stribro
151,2015-08-10,15.289,stribro
152,2015-08-11,15.281,stribro
153,2015-08-12,15.473,stribro
154,2015-08-13,15.396,stribro
155,2015-08-14,15.21,stribro
156,2015-08-17,15.295,stribro
157,2015-08-18,14.787,stribro
158,2015-08-19,15.176,stribro
159,2015-08-20,15.517,stribro
160,2015-08-21,15.301,stribro
161,2015-08-24,14.762,stribro
162,2015-08-25,14.61,stribro
163,2015-08-26,14.045,stribro
164,2015-08-27,14.421,stribro
165,2015-08-28,14.535,stribro
166,2015-08-31,14.577,stribro
167,2015-09-01,14.613,stribro
168,2015-09-02,14.661,stribro
169,2015-09-03,14.702,stribro
170,2015-09-04,14.544,stribro
171,2015-09-08,14.75,stribro
172,2015-09-09,14.568,stribro
173,2015-09-10,14.634,stribro
174,2015-09-11,14.49,stribro
175,2015-09-14,14.357,stribro
176,2015-09-15,14.319,stribro
177,2015-09-16,14.878,stribro
178,2015-09-17,14.975,stribro
179,2015-09-18,15.154,stribro
180,2015-09-21,15.216,stribro
181,2015-09-22,14.75,stribro
182,2015-09-23,14.78,stribro
183,2015-09-24,15.125,stribro
184,2015-09-25,15.106,stribro
185,2015-09-28,14.538,stribro
186,2015-09-29,14.569,stribro
187,2015-09-30,14.513,stribro
188,2015-10-01,14.506,stribro
189,2015-10-02,15.257,stribro
190,2015-10-05,15.702,stribro
191,2015-10-06,15.979,stribro
192,2015-10-07,16.087999,stribro
193,2015-10-08,15.76,stribro
194,2015-10-09,15.809,stribro
195,2015-10-12,15.855,stribro
196,2015-10-13,15.897,stribro
197,2015-10-14,16.101999,stribro
198,2015-10-15,16.152,stribro
199,2015-10-16,16.101999,stribro
200,2015-10-19,15.829,stribro
201,2015-10-20,15.905,stribro
202,2015-10-21,15.696,stribro
203,2015-10-22,15.823,stribro
204,2015-10-23,15.818,stribro
205,2015-10-26,15.9,stribro
206,2015-10-27,15.858,stribro
207,2015-10-28,16.288,stribro
208,2015-10-29,15.544,stribro
209,2015-10-30,15.566,stribro
210,2015-11-02,15.413,stribro
211,2015-11-03,15.244,stribro
212,2015-11-04,15.063,stribro
213,2015-11-05,14.988,stribro
214,2015-11-06,14.696,stribro
